Iteration 1: c = [, s = ettrte, state = 0
Iteration 2: c = a, s = etr, state = 1
Iteration 3: c = a, s = e, state = 1
Iteration 4: c = a, s = , state = 1
Iteration 5: c = (, s = tttt, state = 1
Iteration 6: c = x, s = srts, state = 2
Iteration 7: c = {, s = , state = 2
Iteration 8: c = [, s = rt, state = 3
Iteration 9: c = (, s = r, state = 3
Iteration 10: c = {, s = tss, state = 3
Iteration 11: c = [, s = err, state = 3
Iteration 12: c = ), s = ttsr, state = 3
Iteration 13: c = a, s = trsrte, state = 3
Iteration 14: c = {, s = rrrees, state = 3
Iteration 15: c = x, s = testes, state = 3
Iteration 16: c = ), s = tsrtes, state = 3
Iteration 17: c = a, s = ree, state = 3
Iteration 18: c = ], s = reerre, state = 3
Iteration 19: c = (, s = , state = 3
Iteration 20: c = x, s = etrt, state = 3
Iteration 21: c = ], s = , state = 3
Iteration 22: c = {, s = s, state = 3
Iteration 23: c = x, s = rer, state = 3
Iteration 24: c = ], s = , state = 3
Iteration 25: c = [, s = resrss, state = 3
Iteration 26: c = ), s = srrr, state = 3
Iteration 27: c = (, s = , state = 3
Iteration 28: c = }, s = ssttre, state = 3
Iteration 29: c = ), s = s, state = 3
Iteration 30: c = x, s = rteees, state = 3
Iteration 31: c = a, s = tsrs, state = 3
Iteration 32: c = [, s = eert, state = 3
Iteration 33: c = x, s = , state = 3
Iteration 34: c = (, s = re, state = 3
Iteration 35: c = }, s = rr, state = 3
Iteration 36: c = ], s = rt, state = 3
Iteration 37: c = [, s = tetsre, state = 3
Iteration 38: c = a, s = , state = 3
Iteration 39: c = [, s = , state = 3
Iteration 40: c = [, s = , state = 3
Iteration 41: c = ), s = rertst, state = 3
Iteration 42: c = {, s = srette, state = 3
Iteration 43: c = }, s = ss, state = 3
Iteration 44: c = }, s = rss, state = 3
Iteration 45: c = ), s = tstrst, state = 3
Iteration 46: c = {, s = t, state = 3
Iteration 47: c = ), s = r, state = 3
Iteration 48: c = {, s = ttetsr, state = 3
Iteration 49: c = {, s = rteeer, state = 3
Iteration 50: c = ], s = tet, state = 3
Iteration 51: c = a, s = stesst, state = 3
Iteration 52: c =  , s = es, state = 3
Iteration 53: c = ), s = , state = 4
Iteration 54: c = [, s = terset, state = 4
Iteration 55: c = [, s = trrr, state = 4
Iteration 56: c =  , s = ttseet, state = 4
Iteration 57: c = [, s = , state = 4
Iteration 58: c = x, s = setrs, state = 4
Iteration 59: c = x, s = s, state = 4
Iteration 60: c = ], s = sstrre, state = 4
Iteration 61: c = ), s = , state = 4
Iteration 62: c = (, s = , state = 4
Iteration 63: c = (, s = , state = 4
Iteration 64: c = a, s = , state = 4
Iteration 65: c = x, s = ese, state = 5
Iteration 66: c = }, s = , state = 6
Iteration 67: c = a, s = estrrt, state = 7
Iteration 68: c = ), s = rerte, state = 7
Iteration 69: c = ), s = st, state = 8
Iteration 70: c = x, s = ssseee, state = 8
Iteration 71: c = x, s = rterer, state = 8
Iteration 72: c = ), s = sreeee, state = 8
Iteration 73: c = ], s = , state = 8
Iteration 74: c = ], s = r, state = 9
Iteration 75: c = }, s = stte, state = 9
Iteration 76: c = ), s = , state = 9
Iteration 77: c = x, s = esstee, state = 9
Iteration 78: c =  , s = ee, state = 9
Iteration 79: c = }, s = tttr, state = 9
Iteration 80: c = ), s = rt, state = 9
Iteration 81: c = (, s = terr, state = 9
Iteration 82: c = (, s = rtters, state = 9
