Iteration 1: c = ), s = , state = 0
Iteration 2: c = x, s = s, state = 0
Iteration 3: c = a, s = tttter, state = 0
Iteration 4: c = [, s = stsree, state = 0
Iteration 5: c =  , s = eesttr, state = 1
Iteration 6: c = ), s = es, state = 1
Iteration 7: c = a, s = ts, state = 1
Iteration 8: c =  , s = esess, state = 1
Iteration 9: c = a, s = s, state = 1
Iteration 10: c = ], s = srstet, state = 1
Iteration 11: c = ), s = rss, state = 1
Iteration 12: c =  , s = , state = 1
Iteration 13: c = {, s = reeses, state = 1
Iteration 14: c =  , s = t, state = 1
Iteration 15: c = (, s = , state = 1
Iteration 16: c = ), s = ertesr, state = 2
Iteration 17: c =  , s = e, state = 2
Iteration 18: c = (, s = rss, state = 2
Iteration 19: c = }, s = stsrtr, state = 2
Iteration 20: c = [, s = , state = 2
Iteration 21: c = ), s = eteett, state = 2
Iteration 22: c = a, s = , state = 2
Iteration 23: c =  , s = ssste, state = 2
Iteration 24: c = ], s = r, state = 2
Iteration 25: c = (, s = ttrtrr, state = 2
Iteration 26: c =  , s = , state = 2
Iteration 27: c = [, s = restst, state = 2
Iteration 28: c = x, s = , state = 2
Iteration 29: c = }, s = eretrr, state = 2
Iteration 30: c = a, s = trtst, state = 2
Iteration 31: c = a, s = srterr, state = 2
Iteration 32: c = }, s = , state = 2
Iteration 33: c = ], s = teetss, state = 2
Iteration 34: c = x, s = essrse, state = 2
Iteration 35: c = ], s = st, state = 2
Iteration 36: c = ], s = trrsr, state = 2
Iteration 37: c = }, s = , state = 2
Iteration 38: c =  , s = reee, state = 2
Iteration 39: c = a, s = e, state = 2
Iteration 40: c = [, s = rtstte, state = 2
Iteration 41: c = ], s = e, state = 2
Iteration 42: c = ), s = rstr, state = 2
Iteration 43: c = [, s = ssssr, state = 2
Iteration 44: c = x, s = se, state = 2
Iteration 45: c = }, s = t, state = 2
Iteration 46: c = (, s = ssts, state = 2
Iteration 47: c = [, s = , state = 2
Iteration 48: c = {, s = , state = 2
Iteration 49: c = ], s = ee, state = 3
Iteration 50: c = (, s = rt, state = 3
Iteration 51: c = x, s = srersr, state = 3
Iteration 52: c = a, s = tstet, state = 3
Iteration 53: c = (, s = rte, state = 3
Iteration 54: c = (, s = ttttst, state = 3
Iteration 55: c = a, s = sssre, state = 3
Iteration 56: c = ), s = sstse, state = 3
Iteration 57: c = ), s = rsrres, state = 3
Iteration 58: c = x, s = sreses, state = 3
Iteration 59: c = x, s = , state = 3
Iteration 60: c =  , s = street, state = 3
Iteration 61: c = ), s = s, state = 4
Iteration 62: c = }, s = rtr, state = 4
Iteration 63: c = (, s = tre, state = 4
Iteration 64: c = }, s = ert, state = 4
Iteration 65: c = }, s = ets, state = 4
Iteration 66: c =  , s = ee, state = 4
Iteration 67: c = {, s = , state = 4
